"","Track URI","track_name","album_name","artist_name","release_date","song_dur","pop","exp","Added By","Added At","genre","record_label","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_sig","artist_group","mean_song_dur","mean_pop","mean_exp","mean_danceability","mean_energy","mean_loudness","mean_speechiness","mean_acousticness","mean_instrumentalness","mean_liveness","mean_valence","mean_tempo"
"34","spotify:track:25K9cWrxNv991UYiOzBJqR","Bring Me Down","Late Registration - 2005","Kanye West",2005-08-30,198973,55,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,r&b","Roc-A-Fella",0.385,0.691,6,-6.919,0,0.0924,0.00592,0,0.595,0.352,111.278,5,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"35","spotify:track:5VzeI5JM2y9t21JwrWAnkH","Addiction","Late Registration - 2005","Kanye West",2005-08-30,267066,62,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.504,0.756,1,-8.318,0,0.185,0.184,0,0.252,0.55,115.264,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"36","spotify:track:34KUIBsIUiPV7oCIzSdDAU","Diamonds From Sierra Leone - Remix","Late Registration - 2005","Kanye West",2005-08-30,233400,63,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,hip hop,east coast hip hop","Roc-A-Fella",0.672,0.814,7,-3.768,1,0.27,0.258,0,0.164,0.379,97.043,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"37","spotify:track:46fk9wjYcPm0sgym2b7EEE","We Major","Late Registration - 2005","Kanye West",2005-08-30,448000,65,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,old school hip hop,east coast hip hop,hip hop","Roc-A-Fella",0.234,0.88,11,-3.66,0,0.123,0.0107,0,0.045,0.216,85.641,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"38","spotify:track:46OFHBw45fNi7QNjSetITR","Hey Mama","Late Registration - 2005","Kanye West",2005-08-30,305066,63,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.583,0.754,7,-6.993,1,0.223,0.0593,0,0.113,0.347,95.784,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"39","spotify:track:7jAxGkXU58FwNMjqoMahn7","Celebration","Late Registration - 2005","Kanye West",2005-08-30,198440,56,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.295,0.776,10,-4.199,1,0.213,0.0164,1.41e-06,0.118,0.35,79.992,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"40","spotify:track:5RjbFGeWVsCpw8EcE8OrvZ","Gone","Late Registration - 2005","Kanye West",2005-08-30,333293,58,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,east coast hip hop","Roc-A-Fella",0.842,0.668,1,-6.043,1,0.26,0.015,0,0.0699,0.345,92.703,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"41","spotify:track:4R5bSS8yoCl2czeWLr61aO","Diamonds From Sierra Leone - Bonus Track","Late Registration - 2005","Kanye West",2005-08-30,238400,61,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.435,0.846,7,-3.458,1,0.263,0.148,0,0.306,0.57,100.771,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"42","spotify:track:1mFHMzbaECWFaPfoePoEYl","Late","Late Registration - 2005","Kanye West",2005-08-30,230493,62,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.334,0.843,10,-5.928,0,0.173,0.197,3.95e-06,0.295,0.616,75.281,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"43","spotify:track:6MXXY2eiWkpDCezVCc0cMH","Good Morning","Graduation - 2007","Kanye West",2007-09-11,195093,73,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.166,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"44","spotify:track:4UQMOPSUVJVicIQzjAcRRZ","Champion","Graduation - 2007","Kanye West",2007-09-11,167600,74,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.705,0.504,6,-8.307,1,0.226,0.00299,0,0.695,0.727,102.006,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"45","spotify:track:0j2T0R9dR9qdJYsB7ciXhf","Stronger","Graduation - 2007","Kanye West",2007-09-11,311866,84,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.617,0.716,1,-7.858,1,0.136,0.0056,0,0.408,0.496,104.014,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"46","spotify:track:7rbECVPkY5UODxoOUVKZnA","I Wonder","Graduation - 2007","Kanye West",2007-09-11,243440,83,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"47","spotify:track:4ZPdLEztrlZqbJkgHNw54L","Good Life","Graduation - 2007","Kanye West",2007-09-11,207000,76,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.486,82.962,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"48","spotify:track:0mEdbdeRFQwBhN4xfyIeUM","Can't Tell Me Nothing","Graduation - 2007","Kanye West",2007-09-11,271600,84,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap","Roc-A-Fella",0.587,0.62,5,-6.133,0,0.042,0.0122,0,0.82,0.106,79.928,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"49","spotify:track:7387VaiHpOsSIZ5nmjseya","Barry Bonds","Graduation - 2007","Kanye West",2007-09-11,204306,63,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap,hip hop","Roc-A-Fella",0.48,0.624,1,-6.131,1,0.382,0.0442,0,0.337,0.713,164.996,4,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
"50","spotify:track:7DRuzSlhjKadgdsQRYZ0tr","Drunk and Hot Girls","Graduation - 2007","Kanye West",2007-09-11,313226,62,TRUE,"bobrossthelegend",2026-02-16 17:28:58,"rap,east coast hip hop,old school hip hop,hip hop","Roc-A-Fella",0.661,0.442,10,-7.298,0,0.0284,0.0696,1.21e-05,0.136,0.306,82.771,3,"Kanye West",233518.714285714,74.2142857142857,1,0.576857142857143,0.622857142857143,-7.31321428571429,0.187971428571429,0.11681,4.01935714285714e-05,0.299228571428571,0.520642857142857,100.092642857143
